# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.676000e+01 1.654000e+03 6.691614e-02
1.100000e+02 1.015000e+02 1.662000e+03 7.205734e-02
1.200000e+02 1.060000e+02 1.668000e+03 7.727309e-02
1.300000e+02 1.103000e+02 1.671000e+03 8.236953e-02
1.400000e+02 1.145000e+02 1.673000e+03 8.746662e-02
1.500000e+02 1.185000e+02 1.673000e+03 9.268387e-02
1.600000e+02 1.224000e+02 1.672000e+03 9.778185e-02
1.700000e+02 1.262000e+02 1.670000e+03 1.028802e-01
1.800000e+02 1.298000e+02 1.667000e+03 1.079789e-01
2.000000e+02 1.368000e+02 1.660000e+03 1.182723e-01
2.250000e+02 1.451000e+02 1.647000e+03 1.311477e-01
2.500000e+02 1.678000e+02 1.632000e+03 1.440198e-01
2.750000e+02 1.837000e+02 1.616000e+03 1.568745e-01
3.000000e+02 1.930000e+02 1.599000e+03 1.697074e-01
3.250000e+02 1.990000e+02 1.582000e+03 1.827557e-01
3.500000e+02 2.035000e+02 1.564000e+03 1.958779e-01
3.750000e+02 2.076000e+02 1.546000e+03 2.090972e-01
4.000000e+02 2.118000e+02 1.528000e+03 2.224359e-01
4.500000e+02 2.219000e+02 1.493000e+03 2.494769e-01
5.000000e+02 2.343000e+02 1.458000e+03 2.769274e-01
5.500000e+02 2.488000e+02 1.425000e+03 3.047605e-01
6.000000e+02 2.651000e+02 1.393000e+03 3.328465e-01
6.500000e+02 2.826000e+02 1.363000e+03 3.613588e-01
7.000000e+02 3.010000e+02 1.334000e+03 3.900452e-01
8.000000e+02 3.391000e+02 1.279000e+03 4.478867e-01
9.000000e+02 3.776000e+02 1.229000e+03 5.064848e-01
1.000000e+03 4.153000e+02 1.184000e+03 5.654217e-01
1.100000e+03 4.517000e+02 1.142000e+03 6.247107e-01
1.200000e+03 4.865000e+02 1.103000e+03 6.843404e-01
1.300000e+03 5.196000e+02 1.067000e+03 7.440022e-01
1.400000e+03 5.512000e+02 1.034000e+03 8.039256e-01
1.500000e+03 5.812000e+02 1.003000e+03 8.639014e-01
1.600000e+03 6.098000e+02 9.748000e+02 9.239455e-01
1.700000e+03 6.371000e+02 9.480000e+02 9.840252e-01
1.800000e+03 6.633000e+02 9.229000e+02 2.418413e+03
2.000000e+03 7.127000e+02 8.771000e+02 2.645516e+03
2.250000e+03 7.697000e+02 8.269000e+02 2.920484e+03
2.500000e+03 8.226000e+02 7.830000e+02 3.184837e+03
2.750000e+03 8.724000e+02 7.442000e+02 3.439276e+03
3.000000e+03 9.199000e+02 7.097000e+02 3.683937e+03
3.250000e+03 9.662000e+02 6.788000e+02 3.918770e+03
3.500000e+03 1.012000e+03 6.508000e+02 4.145929e+03
3.750000e+03 1.058000e+03 6.254000e+02 4.364031e+03
4.000000e+03 1.105000e+03 6.022000e+02 4.574465e+03
4.500000e+03 1.202000e+03 5.613000e+02 4.976618e+03
5.000000e+03 1.307000e+03 5.264000e+02 5.345920e+03
5.500000e+03 1.418000e+03 4.961000e+02 5.683796e+03
6.000000e+03 1.537000e+03 4.696000e+02 5.991656e+03
6.500000e+03 1.660000e+03 4.461000e+02 6.272247e+03
7.000000e+03 1.789000e+03 4.252000e+02 6.527728e+03
8.000000e+03 2.055000e+03 3.894000e+02 6.983488e+03
9.000000e+03 2.326000e+03 3.598000e+02 7.363419e+03
1.000000e+04 2.598000e+03 3.349000e+02 7.682804e+03
1.100000e+04 2.865000e+03 3.136000e+02 7.954892e+03
1.200000e+04 3.124000e+03 2.952000e+02 8.189453e+03
1.300000e+04 3.374000e+03 2.790000e+02 8.393565e+03
1.400000e+04 3.613000e+03 2.648000e+02 8.572806e+03
1.500000e+04 3.840000e+03 2.520000e+02 8.732760e+03
1.600000e+04 4.056000e+03 2.406000e+02 8.874919e+03
1.700000e+04 4.261000e+03 2.303000e+02 9.004116e+03
1.800000e+04 4.454000e+03 2.209000e+02 9.121864e+03
2.000000e+04 4.811000e+03 2.045000e+02 9.336901e+03
2.250000e+04 5.207000e+03 1.874000e+02 9.568186e+03
2.500000e+04 5.555000e+03 1.732000e+02 9.763519e+03
2.750000e+04 5.864000e+03 1.612000e+02 9.933008e+03
3.000000e+04 6.141000e+03 1.509000e+02 1.008084e+04
