# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.626000e+01 1.437000e+03 7.223683e-02
1.100000e+02 1.010000e+02 1.439000e+03 7.810768e-02
1.200000e+02 1.054000e+02 1.438000e+03 8.395838e-02
1.300000e+02 1.098000e+02 1.436000e+03 8.983073e-02
1.400000e+02 1.139000e+02 1.432000e+03 9.570355e-02
1.500000e+02 1.179000e+02 1.428000e+03 1.016507e-01
1.600000e+02 1.218000e+02 1.422000e+03 1.074984e-01
1.700000e+02 1.255000e+02 1.416000e+03 1.134669e-01
1.800000e+02 1.291000e+02 1.410000e+03 1.193212e-01
2.000000e+02 1.463000e+02 1.396000e+03 1.312143e-01
2.250000e+02 1.811000e+02 1.376000e+03 1.460117e-01
2.500000e+02 1.979000e+02 1.356000e+03 1.607917e-01
2.750000e+02 2.056000e+02 1.336000e+03 1.756440e-01
3.000000e+02 2.093000e+02 1.316000e+03 1.907319e-01
3.250000e+02 2.118000e+02 1.296000e+03 2.058732e-01
3.500000e+02 2.145000e+02 1.276000e+03 2.213261e-01
3.750000e+02 2.180000e+02 1.256000e+03 2.369475e-01
4.000000e+02 2.226000e+02 1.237000e+03 2.528035e-01
4.500000e+02 2.349000e+02 1.201000e+03 2.848832e-01
5.000000e+02 2.511000e+02 1.166000e+03 3.175417e-01
5.500000e+02 2.702000e+02 1.133000e+03 3.505829e-01
6.000000e+02 2.914000e+02 1.103000e+03 3.840117e-01
6.500000e+02 3.140000e+02 1.074000e+03 4.176094e-01
7.000000e+02 3.374000e+02 1.046000e+03 4.513860e-01
8.000000e+02 3.853000e+02 9.962000e+02 5.192825e-01
9.000000e+02 4.327000e+02 9.513000e+02 5.872671e-01
1.000000e+03 4.783000e+02 9.109000e+02 6.551617e-01
1.100000e+03 5.214000e+02 8.744000e+02 7.228550e-01
1.200000e+03 5.620000e+02 8.411000e+02 7.902560e-01
1.300000e+03 6.000000e+02 8.107000e+02 8.574787e-01
1.400000e+03 6.356000e+02 7.828000e+02 9.244115e-01
1.500000e+03 6.690000e+02 7.571000e+02 9.910744e-01
1.600000e+03 7.003000e+02 7.333000e+02 1.061269e+00
1.700000e+03 7.298000e+02 7.112000e+02 1.122556e+00
1.800000e+03 7.576000e+02 6.906000e+02 1.193497e+00
2.000000e+03 8.092000e+02 6.533000e+02 1.315806e+00
2.250000e+03 8.675000e+02 6.129000e+02 1.478173e+00
2.500000e+03 9.209000e+02 5.779000e+02 1.640243e+00
2.750000e+03 9.715000e+02 5.473000e+02 1.802058e+00
3.000000e+03 1.021000e+03 5.202000e+02 1.963668e+00
3.250000e+03 1.071000e+03 4.961000e+02 2.115294e+00
3.500000e+03 1.122000e+03 4.744000e+02 2.266709e+00
3.750000e+03 1.176000e+03 4.548000e+02 2.417934e+00
4.000000e+03 1.232000e+03 4.370000e+02 2.559193e+00
4.500000e+03 1.352000e+03 4.058000e+02 2.841271e+00
5.000000e+03 1.483000e+03 3.793000e+02 3.112861e+00
5.500000e+03 1.623000e+03 3.565000e+02 3.364197e+00
6.000000e+03 1.771000e+03 3.366000e+02 3.605154e+00
6.500000e+03 1.923000e+03 3.190000e+02 3.825993e+00
7.000000e+03 2.080000e+03 3.035000e+02 4.036590e+00
8.000000e+03 2.398000e+03 2.770000e+02 4.427431e+00
9.000000e+03 2.715000e+03 2.552000e+02 4.767936e+00
1.000000e+04 3.024000e+03 2.370000e+02 5.088000e+00
1.100000e+04 3.321000e+03 2.215000e+02 5.377905e+00
1.200000e+04 3.602000e+03 2.081000e+02 5.637777e+00
1.300000e+04 3.868000e+03 1.963000e+02 5.897368e+00
1.400000e+04 4.116000e+03 1.860000e+02 6.127057e+00
1.500000e+04 4.349000e+03 1.768000e+02 6.346687e+00
1.600000e+04 4.566000e+03 1.686000e+02 6.566204e+00
1.700000e+04 4.769000e+03 1.612000e+02 6.765789e+00
1.800000e+04 4.959000e+03 1.545000e+02 6.965309e+00
2.000000e+04 5.301000e+03 1.427000e+02 7.344438e+00
2.250000e+04 5.672000e+03 1.306000e+02 7.783447e+00
2.500000e+04 5.992000e+03 1.205000e+02 8.192483e+00
2.750000e+04 6.270000e+03 1.120000e+02 8.591485e+00
3.000000e+04 6.517000e+03 1.047000e+02 8.970540e+00
