# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.280000e+01 1.481000e+03 7.133309e-02
1.100000e+02 9.733000e+01 1.484000e+03 7.701701e-02
1.200000e+02 1.017000e+02 1.485000e+03 8.274841e-02
1.300000e+02 1.058000e+02 1.484000e+03 8.852740e-02
1.400000e+02 1.098000e+02 1.481000e+03 9.426028e-02
1.500000e+02 1.137000e+02 1.477000e+03 9.999390e-02
1.600000e+02 1.174000e+02 1.473000e+03 1.057281e-01
1.700000e+02 1.210000e+02 1.468000e+03 1.114629e-01
1.800000e+02 1.245000e+02 1.462000e+03 1.172180e-01
2.000000e+02 1.312000e+02 1.449000e+03 1.287841e-01
2.250000e+02 1.694000e+02 1.432000e+03 1.432356e-01
2.500000e+02 1.931000e+02 1.413000e+03 1.576136e-01
2.750000e+02 2.042000e+02 1.393000e+03 1.719252e-01
3.000000e+02 2.092000e+02 1.373000e+03 1.864721e-01
3.250000e+02 2.116000e+02 1.354000e+03 2.011923e-01
3.500000e+02 2.135000e+02 1.334000e+03 2.161047e-01
3.750000e+02 2.158000e+02 1.315000e+03 2.311142e-01
4.000000e+02 2.189000e+02 1.296000e+03 2.464117e-01
4.500000e+02 2.284000e+02 1.260000e+03 2.774346e-01
5.000000e+02 2.418000e+02 1.225000e+03 3.089407e-01
5.500000e+02 2.585000e+02 1.192000e+03 3.410435e-01
6.000000e+02 2.776000e+02 1.161000e+03 3.734158e-01
6.500000e+02 2.986000e+02 1.132000e+03 4.060581e-01
7.000000e+02 3.207000e+02 1.104000e+03 4.388919e-01
8.000000e+02 3.668000e+02 1.053000e+03 5.050124e-01
9.000000e+02 4.132000e+02 1.007000e+03 5.712540e-01
1.000000e+03 4.583000e+02 9.653000e+02 6.375814e-01
1.100000e+03 5.015000e+02 9.276000e+02 7.037277e-01
1.200000e+03 5.422000e+02 8.932000e+02 7.696744e-01
1.300000e+03 5.805000e+02 8.617000e+02 8.354622e-01
1.400000e+03 6.163000e+02 8.326000e+02 9.010754e-01
1.500000e+03 6.498000e+02 8.059000e+02 9.664338e-01
1.600000e+03 6.812000e+02 7.810000e+02 2.473827e+03
1.700000e+03 7.107000e+02 7.579000e+02 2.598462e+03
1.800000e+03 7.385000e+02 7.364000e+02 2.720241e+03
2.000000e+03 7.896000e+02 6.974000e+02 2.958385e+03
2.250000e+03 8.468000e+02 6.549000e+02 3.243786e+03
2.500000e+03 8.986000e+02 6.181000e+02 3.514429e+03
2.750000e+03 9.468000e+02 5.858000e+02 3.773199e+03
3.000000e+03 9.932000e+02 5.572000e+02 4.020091e+03
3.250000e+03 1.039000e+03 5.317000e+02 4.256521e+03
3.500000e+03 1.086000e+03 5.088000e+02 4.483208e+03
3.750000e+03 1.135000e+03 4.880000e+02 4.699446e+03
4.000000e+03 1.185000e+03 4.691000e+02 4.905227e+03
4.500000e+03 1.295000e+03 4.360000e+02 5.295233e+03
5.000000e+03 1.414000e+03 4.078000e+02 5.646791e+03
5.500000e+03 1.543000e+03 3.835000e+02 5.962721e+03
6.000000e+03 1.680000e+03 3.623000e+02 6.245810e+03
6.500000e+03 1.823000e+03 3.436000e+02 6.499489e+03
7.000000e+03 1.971000e+03 3.270000e+02 6.727214e+03
8.000000e+03 2.274000e+03 2.987000e+02 7.125885e+03
9.000000e+03 2.580000e+03 2.754000e+02 7.451264e+03
1.000000e+04 2.882000e+03 2.558000e+02 7.720804e+03
1.100000e+04 3.175000e+03 2.392000e+02 7.947184e+03
1.200000e+04 3.455000e+03 2.248000e+02 8.140711e+03
1.300000e+04 3.721000e+03 2.122000e+02 8.308703e+03
1.400000e+04 3.971000e+03 2.011000e+02 8.455213e+03
1.500000e+04 4.207000e+03 1.912000e+02 8.585323e+03
1.600000e+04 4.428000e+03 1.824000e+02 8.701677e+03
1.700000e+04 4.635000e+03 1.744000e+02 8.807345e+03
1.800000e+04 4.828000e+03 1.672000e+02 8.902941e+03
2.000000e+04 5.180000e+03 1.545000e+02 9.078391e+03
2.250000e+04 5.561000e+03 1.414000e+02 9.268619e+03
2.500000e+04 5.890000e+03 1.305000e+02 9.430020e+03
2.750000e+04 6.176000e+03 1.214000e+02 9.570534e+03
3.000000e+04 6.430000e+03 1.135000e+02 9.694356e+03
