# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.652000e+01 1.412000e+03 7.334507e-02
1.100000e+02 1.012000e+02 1.413000e+03 7.931053e-02
1.200000e+02 1.057000e+02 1.411000e+03 8.527684e-02
1.300000e+02 1.100000e+02 1.409000e+03 9.124385e-02
1.400000e+02 1.142000e+02 1.405000e+03 9.730576e-02
1.500000e+02 1.182000e+02 1.400000e+03 1.032739e-01
1.600000e+02 1.221000e+02 1.395000e+03 1.092222e-01
1.700000e+02 1.258000e+02 1.388000e+03 1.152856e-01
1.800000e+02 1.295000e+02 1.382000e+03 1.213494e-01
2.000000e+02 1.433000e+02 1.367000e+03 1.334329e-01
2.250000e+02 1.781000e+02 1.348000e+03 1.485410e-01
2.500000e+02 1.954000e+02 1.328000e+03 1.636263e-01
2.750000e+02 2.035000e+02 1.308000e+03 1.788086e-01
3.000000e+02 2.077000e+02 1.287000e+03 1.941638e-01
3.250000e+02 2.105000e+02 1.267000e+03 2.097302e-01
3.500000e+02 2.135000e+02 1.247000e+03 2.254703e-01
3.750000e+02 2.172000e+02 1.228000e+03 2.414213e-01
4.000000e+02 2.218000e+02 1.209000e+03 2.575648e-01
4.500000e+02 2.341000e+02 1.173000e+03 2.903572e-01
5.000000e+02 2.501000e+02 1.138000e+03 3.237287e-01
5.500000e+02 2.688000e+02 1.106000e+03 3.575789e-01
6.000000e+02 2.895000e+02 1.076000e+03 3.916030e-01
6.500000e+02 3.116000e+02 1.047000e+03 4.259935e-01
7.000000e+02 3.346000e+02 1.020000e+03 4.605975e-01
8.000000e+02 3.814000e+02 9.709000e+02 5.299058e-01
9.000000e+02 4.278000e+02 9.268000e+02 5.993954e-01
1.000000e+03 4.724000e+02 8.871000e+02 6.689132e-01
1.100000e+03 5.148000e+02 8.512000e+02 7.381140e-01
1.200000e+03 5.548000e+02 8.186000e+02 8.071041e-01
1.300000e+03 5.923000e+02 7.888000e+02 8.757398e-01
1.400000e+03 6.275000e+02 7.615000e+02 9.441860e-01
1.500000e+03 6.607000e+02 7.363000e+02 1.012263e+00
1.600000e+03 6.918000e+02 7.130000e+02 2.591592e+03
1.700000e+03 7.213000e+02 6.913000e+02 2.720413e+03
1.800000e+03 7.492000e+02 6.712000e+02 2.845726e+03
2.000000e+03 8.009000e+02 6.348000e+02 3.089453e+03
2.250000e+03 8.596000e+02 5.953000e+02 3.380492e+03
2.500000e+03 9.136000e+02 5.612000e+02 3.655394e+03
2.750000e+03 9.646000e+02 5.313000e+02 3.917037e+03
3.000000e+03 1.014000e+03 5.049000e+02 4.166108e+03
3.250000e+03 1.064000e+03 4.814000e+02 4.401938e+03
3.500000e+03 1.115000e+03 4.603000e+02 4.626620e+03
3.750000e+03 1.169000e+03 4.412000e+02 4.840169e+03
4.000000e+03 1.224000e+03 4.239000e+02 5.041863e+03
4.500000e+03 1.343000e+03 3.935000e+02 5.421560e+03
5.000000e+03 1.472000e+03 3.677000e+02 5.760016e+03
5.500000e+03 1.610000e+03 3.455000e+02 6.061424e+03
6.000000e+03 1.755000e+03 3.262000e+02 6.329214e+03
6.500000e+03 1.906000e+03 3.092000e+02 6.568319e+03
7.000000e+03 2.059000e+03 2.941000e+02 6.781386e+03
8.000000e+03 2.372000e+03 2.683000e+02 7.153460e+03
9.000000e+03 2.684000e+03 2.472000e+02 7.455681e+03
1.000000e+04 2.987000e+03 2.295000e+02 7.705487e+03
1.100000e+04 3.279000e+03 2.144000e+02 7.915438e+03
1.200000e+04 3.556000e+03 2.014000e+02 8.094895e+03
1.300000e+04 3.817000e+03 1.901000e+02 8.250719e+03
1.400000e+04 4.063000e+03 1.801000e+02 8.387206e+03
1.500000e+04 4.292000e+03 1.712000e+02 8.508045e+03
1.600000e+04 4.506000e+03 1.632000e+02 8.616517e+03
1.700000e+04 4.707000e+03 1.560000e+02 8.714919e+03
1.800000e+04 4.894000e+03 1.495000e+02 8.804014e+03
2.000000e+04 5.232000e+03 1.381000e+02 8.969377e+03
2.250000e+04 5.599000e+03 1.263000e+02 9.148719e+03
2.500000e+04 5.915000e+03 1.165000e+02 9.301239e+03
2.750000e+04 6.191000e+03 1.083000e+02 9.434426e+03
3.000000e+04 6.435000e+03 1.012000e+02 9.552313e+03
