# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.041000e+01 1.019000e+03 9.006353e-02
1.100000e+02 9.483000e+01 1.011000e+03 9.810285e-02
1.200000e+02 9.904000e+01 1.002000e+03 1.062148e-01
1.300000e+02 1.031000e+02 9.926000e+02 1.144428e-01
1.400000e+02 1.070000e+02 9.829000e+02 1.226788e-01
1.500000e+02 1.112000e+02 9.730000e+02 1.309810e-01
1.600000e+02 1.160000e+02 9.630000e+02 1.393050e-01
1.700000e+02 1.195000e+02 9.530000e+02 1.477026e-01
1.800000e+02 1.224000e+02 9.430000e+02 1.561949e-01
2.000000e+02 1.276000e+02 9.232000e+02 1.732966e-01
2.250000e+02 1.341000e+02 8.993000e+02 1.951228e-01
2.500000e+02 1.413000e+02 8.763000e+02 2.173965e-01
2.750000e+02 1.491000e+02 8.544000e+02 2.399571e-01
3.000000e+02 1.575000e+02 8.335000e+02 2.629448e-01
3.250000e+02 1.664000e+02 8.136000e+02 2.861930e-01
3.500000e+02 1.755000e+02 7.948000e+02 3.096337e-01
3.750000e+02 1.848000e+02 7.769000e+02 3.334752e-01
4.000000e+02 1.942000e+02 7.598000e+02 3.574839e-01
4.500000e+02 2.127000e+02 7.282000e+02 4.061229e-01
5.000000e+02 2.307000e+02 6.995000e+02 4.555723e-01
5.500000e+02 2.479000e+02 6.732000e+02 5.055260e-01
6.000000e+02 2.641000e+02 6.492000e+02 5.560848e-01
6.500000e+02 2.795000e+02 6.271000e+02 6.071071e-01
7.000000e+02 2.941000e+02 6.067000e+02 6.585154e-01
8.000000e+02 3.214000e+02 5.703000e+02 7.625101e-01
9.000000e+02 3.467000e+02 5.387000e+02 8.676494e-01
1.000000e+03 3.709000e+02 5.109000e+02 9.736318e-01
1.100000e+03 3.944000e+02 4.864000e+02 1.079770e+00
1.200000e+03 4.176000e+02 4.644000e+02 1.182399e+00
1.300000e+03 4.408000e+02 4.446000e+02 1.294544e+00
1.400000e+03 4.642000e+02 4.268000e+02 1.396911e+00
1.500000e+03 4.877000e+02 4.105000e+02 1.508786e+00
1.600000e+03 5.114000e+02 3.956000e+02 1.610867e+00
1.700000e+03 5.354000e+02 3.819000e+02 1.712769e+00
1.800000e+03 5.597000e+02 3.693000e+02 1.814534e+00
2.000000e+03 6.091000e+02 3.468000e+02 2.017744e+00
2.250000e+03 6.728000e+02 3.227000e+02 2.261319e+00
2.500000e+03 7.395000e+02 3.021000e+02 2.494343e+00
2.750000e+03 8.098000e+02 2.844000e+02 2.716884e+00
3.000000e+03 8.841000e+02 2.689000e+02 2.929003e+00
3.250000e+03 9.624000e+02 2.552000e+02 3.130730e+00
3.500000e+03 1.045000e+03 2.430000e+02 3.322137e+00
3.750000e+03 1.130000e+03 2.321000e+02 3.503309e+00
4.000000e+03 1.219000e+03 2.222000e+02 3.684038e+00
4.500000e+03 1.404000e+03 2.051000e+02 3.995566e+00
5.000000e+03 1.596000e+03 1.907000e+02 4.286306e+00
5.500000e+03 1.792000e+03 1.784000e+02 4.536880e+00
6.000000e+03 1.988000e+03 1.678000e+02 4.776955e+00
6.500000e+03 2.184000e+03 1.585000e+02 4.996859e+00
7.000000e+03 2.377000e+03 1.503000e+02 5.196674e+00
8.000000e+03 2.748000e+03 1.364000e+02 5.556162e+00
9.000000e+03 3.096000e+03 1.251000e+02 5.875406e+00
1.000000e+04 3.418000e+03 1.157000e+02 6.164518e+00
1.100000e+04 3.714000e+03 1.078000e+02 6.433541e+00
1.200000e+04 3.985000e+03 1.010000e+02 6.682572e+00
1.300000e+04 4.234000e+03 9.501000e+01 6.911660e+00
1.400000e+04 4.461000e+03 8.980000e+01 7.140631e+00
1.500000e+04 4.669000e+03 8.518000e+01 7.349727e+00
1.600000e+04 4.859000e+03 8.106000e+01 7.548865e+00
1.700000e+04 5.035000e+03 7.736000e+01 7.747959e+00
1.800000e+04 5.196000e+03 7.401000e+01 7.937111e+00
2.000000e+04 5.484000e+03 6.818000e+01 8.305527e+00
2.250000e+04 5.788000e+03 6.216000e+01 8.743704e+00
2.500000e+04 6.044000e+03 5.721000e+01 9.152080e+00
2.750000e+04 6.261000e+03 5.304000e+01 9.550523e+00
3.000000e+04 6.446000e+03 4.949000e+01 9.939049e+00
