# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+02 9.237000e+01 1.691000e+03 6.642063e-02
1.100000e+02 9.688000e+01 1.701000e+03 7.151678e-02
1.200000e+02 1.012000e+02 1.708000e+03 7.651895e-02
1.300000e+02 1.053000e+02 1.713000e+03 8.161642e-02
1.400000e+02 1.093000e+02 1.716000e+03 8.661951e-02
1.500000e+02 1.131000e+02 1.718000e+03 9.171788e-02
1.600000e+02 1.168000e+02 1.718000e+03 9.672161e-02
1.700000e+02 1.204000e+02 1.717000e+03 1.017061e-01
1.800000e+02 1.239000e+02 1.715000e+03 1.066863e-01
2.000000e+02 1.306000e+02 1.708000e+03 1.167714e-01
2.250000e+02 1.386000e+02 1.698000e+03 1.293152e-01
2.500000e+02 1.562000e+02 1.684000e+03 1.419560e-01
2.750000e+02 1.789000e+02 1.669000e+03 1.544842e-01
3.000000e+02 1.919000e+02 1.653000e+03 1.670320e-01
3.250000e+02 1.996000e+02 1.637000e+03 1.797310e-01
3.500000e+02 2.044000e+02 1.620000e+03 1.924315e-01
3.750000e+02 2.081000e+02 1.602000e+03 2.052469e-01
4.000000e+02 2.114000e+02 1.585000e+03 2.181633e-01
4.500000e+02 2.189000e+02 1.550000e+03 2.444564e-01
5.000000e+02 2.285000e+02 1.517000e+03 2.710586e-01
5.500000e+02 2.405000e+02 1.484000e+03 2.981443e-01
6.000000e+02 2.545000e+02 1.452000e+03 3.255215e-01
6.500000e+02 2.701000e+02 1.421000e+03 3.531694e-01
7.000000e+02 2.870000e+02 1.392000e+03 3.811091e-01
8.000000e+02 3.229000e+02 1.337000e+03 4.376116e-01
9.000000e+02 3.602000e+02 1.287000e+03 4.947537e-01
1.000000e+03 3.976000e+02 1.240000e+03 5.524440e-01
1.100000e+03 4.342000e+02 1.198000e+03 6.103581e-01
1.200000e+03 4.696000e+02 1.158000e+03 6.685324e-01
1.300000e+03 5.034000e+02 1.122000e+03 7.268703e-01
1.400000e+03 5.358000e+02 1.088000e+03 7.854694e-01
1.500000e+03 5.666000e+02 1.056000e+03 8.440233e-01
1.600000e+03 5.960000e+02 1.027000e+03 9.027270e-01
1.700000e+03 6.240000e+02 9.990000e+02 9.614992e-01
1.800000e+03 6.507000e+02 9.731000e+02 1.020228e+00
2.000000e+03 7.008000e+02 9.257000e+02 2.566961e+03
2.250000e+03 7.580000e+02 8.736000e+02 2.834937e+03
2.500000e+03 8.105000e+02 8.280000e+02 3.094363e+03
2.750000e+03 8.591000e+02 7.876000e+02 3.343924e+03
3.000000e+03 9.049000e+02 7.516000e+02 3.584364e+03
3.250000e+03 9.488000e+02 7.193000e+02 3.816375e+03
3.500000e+03 9.916000e+02 6.900000e+02 4.041422e+03
3.750000e+03 1.034000e+03 6.634000e+02 4.258089e+03
4.000000e+03 1.077000e+03 6.391000e+02 4.467791e+03
4.500000e+03 1.166000e+03 5.962000e+02 4.871274e+03
5.000000e+03 1.260000e+03 5.595000e+02 5.245411e+03
5.500000e+03 1.361000e+03 5.276000e+02 5.590211e+03
6.000000e+03 1.469000e+03 4.997000e+02 5.907790e+03
6.500000e+03 1.583000e+03 4.749000e+02 6.198839e+03
7.000000e+03 1.702000e+03 4.529000e+02 6.465454e+03
8.000000e+03 1.951000e+03 4.150000e+02 6.945717e+03
9.000000e+03 2.209000e+03 3.838000e+02 7.348804e+03
1.000000e+04 2.469000e+03 3.574000e+02 7.689287e+03
1.100000e+04 2.728000e+03 3.348000e+02 7.979769e+03
1.200000e+04 2.982000e+03 3.153000e+02 8.230593e+03
1.300000e+04 3.229000e+03 2.981000e+02 8.449578e+03
1.400000e+04 3.466000e+03 2.830000e+02 8.640892e+03
1.500000e+04 3.694000e+03 2.694000e+02 8.812295e+03
1.600000e+04 3.911000e+03 2.573000e+02 8.965153e+03
1.700000e+04 4.118000e+03 2.463000e+02 9.103017e+03
1.800000e+04 4.314000e+03 2.363000e+02 9.228675e+03
2.000000e+04 4.678000e+03 2.188000e+02 9.457244e+03
2.250000e+04 5.083000e+03 2.007000e+02 9.702219e+03
2.500000e+04 5.440000e+03 1.855000e+02 9.908450e+03
2.750000e+04 5.758000e+03 1.727000e+02 1.008667e+04
3.000000e+04 6.042000e+03 1.618000e+02 1.024245e+04
